Comentario,Fecha,Estrellas,Nombre,Tipo Establecimiento,Dirección,Coordenadas,Latitud,Longitud,Calificación,Fecha_numero
Un hotel moderno y acogedor muy cercano a la zona nocturna de Quito. Buen servicio y bonitas instalaciones.,Hace 5 meses en Google,5/5,Hotel Rio Amazonas Quito,Hotel,"Luis Cordero E4-375 y, Quito 170517","('-0.2009727', '-78.4910933')",-0.2009727,-78.4910933,1.0,01/23/2024
"Bastante amabilidad, por ende buena atención",Hace 2 meses en Google,5/5,Hotel Rio Amazonas Quito,Hotel,"Luis Cordero E4-375 y, Quito 170517","('-0.2009727', '-78.4910933')",-0.2009727,-78.4910933,1.0,04/22/2024
Nuevamente agradezco su atención en la realización de mi  evento. El personal que estuvo a cargo demostró mucho profesionalismo. La comida excelente. |Como siempre los recomiendo . Un eve to más que he realizado con éxito 🙌…,Hace 11 meses en Tripadvisor,5/5,Hotel Rio Amazonas Quito,Hotel,"Luis Cordero E4-375 y, Quito 170517","('-0.2009727', '-78.4910933')",-0.2009727,-78.4910933,1.0,07/27/2023
"La ubicación, comodidad, limpieza son puntos a favor, por otro lado las reglas de hotel no son claras en cuanto recibir visitas en la habitación, el desayuno estuvo muy bueno",Hace 6 meses en Google,3/5,Hotel Rio Amazonas Quito,Hotel,"Luis Cordero E4-375 y, Quito 170517","('-0.2009727', '-78.4910933')",-0.2009727,-78.4910933,0.0,12/24/2023
"Esa bien, las habitaciones limpias, sábanas blancas, el baño está bien tiene las cosas básicas, las toallas limpias y blancas. La seguridad de la puerta de la habitación te da confianza. En el Restaurant tienen un menú muy variado, la comida estuvo bien, muy rica, los precios me parecen un poco elevados. En general estuvo bien,  8½/10 mi valoración. El servicio de los dependientes es muy cordial, de los que están en la recepción y del señor que te abre la puerta, muy atentos",Hace un año en Google,4/5,Hotel Rio Amazonas Quito,Hotel,"Luis Cordero E4-375 y, Quito 170517","('-0.2009727', '-78.4910933')",-0.2009727,-78.4910933,1.0,06/22/2023
"Hotel excelente con buenos servicios, cafetería, restaurante, salones de eventos, salas de negocio, habitaciones amplias y bonitas con increíble vista, sin duda les recomiendo hospedarse,  realizar eventos o ir a comer.",Hace 8 meses en Google,5/5,Hotel Rio Amazonas Quito,Hotel,"Luis Cordero E4-375 y, Quito 170517","('-0.2009727', '-78.4910933')",-0.2009727,-78.4910933,1.0,10/25/2023
"El servicio excelente
Atención al cliente excelente y amable",Hace 2 meses en Google,5/5,Hotel Rio Amazonas Quito,Hotel,"Luis Cordero E4-375 y, Quito 170517","('-0.2009727', '-78.4910933')",-0.2009727,-78.4910933,1.0,04/22/2024
Cerca de todo. Buen ambiente. Seguro,Hace 4 meses en Google,5/5,Hotel Rio Amazonas Quito,Hotel,"Luis Cordero E4-375 y, Quito 170517","('-0.2009727', '-78.4910933')",-0.2009727,-78.4910933,1.0,02/22/2024
Super bonito excelente comida e instalaciones muy confortables tiene muy buena vista y excelente atención precios accesibles recomendado 👍…,Hace 9 meses en Google,5/5,Hotel Rio Amazonas Quito,Hotel,"Luis Cordero E4-375 y, Quito 170517","('-0.2009727', '-78.4910933')",-0.2009727,-78.4910933,1.0,09/25/2023
"Las habitaciones muy bonitas, limpias y muy cómodas. El desayuno incluido estuvo delicioso. Lo único que debería mejorar es el servicio del front desk. En la noche pedimos una silla adicional y después de 30 minutos mi esposo tuvo que bajar a pedirles personalmente la silla. Lo mismo paso en la mañana, pedí una taza y nunca me la llevaron a mi habitación,  tuve que bajar a coger una yo misma.",Hace un año en Google,4/5,Hotel Rio Amazonas Quito,Hotel,"Luis Cordero E4-375 y, Quito 170517","('-0.2009727', '-78.4910933')",-0.2009727,-78.4910933,1.0,06/22/2023
